WBGene00021407	Y38C1AB.5.1	IV	-1	8765	11070	Y38C1AB.5	protein_coding
WBGene00022381	Y94H6A.9b.1	IV	-1	2720323	2725318	ubxn-2	protein_coding
WBGene00022381	Y94H6A.9a.1	IV	-1	2720323	2725858	ubxn-2	protein_coding
WBGene00022381	Y94H6A.9c.1	IV	-1	2720362	2720712	ubxn-2	protein_coding
WBGene00022381	Y94H6A.9d.1	IV	-1	2722830	2725858	ubxn-2	protein_coding
WBGene00022375	Y94H6A.2.1	IV	1	2730252	2732404	Y94H6A.2	protein_coding
WBGene00022374	Y94H6A.1.1	IV	1	2743007	2747476	nhr-277	protein_coding
WBGene00044485	Y54G2A.41.1	IV	1	2751868	2753461	Y54G2A.41	protein_coding
WBGene00043061	Y54G2A.38.1	IV	1	2759463	2762083	Y54G2A.38	protein_coding
WBGene00235350	Y54G2A.77.1	IV	1	2762680	2765612	Y54G2A.77	protein_coding
WBGene00021876	Y54G2A.11a.1	IV	-1	2765719	2771790	Y54G2A.11	protein_coding
WBGene00021876	Y54G2A.11b.1	IV	-1	2765732	2766715	Y54G2A.11	protein_coding
WBGene00021877	Y54G2A.12.1	IV	-1	2777232	2782843	Y54G2A.12	protein_coding
WBGene00219424	Y54G2A.72.1	IV	1	2778141	2778571	Y54G2A.72	protein_coding
WBGene00021868	Y54G2A.2b.1	IV	1	2788692	2796773	atln-1	protein_coding
WBGene00021868	Y54G2A.2a.1	IV	1	2788692	2796805	atln-1	protein_coding
WBGene00021868	Y54G2A.2c.1	IV	1	2788736	2796798	atln-1	protein_coding
WBGene00021868	Y54G2A.2c.2	IV	1	2788826	2796798	atln-1	protein_coding
WBGene00021868	Y54G2A.2c.3	IV	1	2791568	2796798	atln-1	protein_coding
WBGene00021868	Y54G2A.2c.4	IV	1	2792351	2796798	atln-1	protein_coding
WBGene00021868	Y54G2A.2d.1	IV	1	2794476	2796793	atln-1	protein_coding
WBGene00021868	Y54G2A.2d.2	IV	1	2795652	2796793	atln-1	protein_coding
WBGene00045397	Y54G2A.52.1	IV	-1	2797061	2798573	Y54G2A.52	protein_coding
WBGene00021875	Y54G2A.10a.1	IV	1	2799689	2801039	Y54G2A.10	protein_coding
WBGene00021875	Y54G2A.10b.1	IV	1	2799939	2800956	Y54G2A.10	protein_coding
WBGene00044487	Y54G2A.44.1	IV	1	2801902	2803240	Y54G2A.44	protein_coding
WBGene00021894	Y54G2A.32.2	IV	1	2803589	2804786	Y54G2A.32	protein_coding
WBGene00021894	Y54G2A.32.3	IV	1	2803952	2804792	Y54G2A.32	protein_coding
WBGene00021894	Y54G2A.32.4	IV	1	2803964	2804916	Y54G2A.32	protein_coding
WBGene00021894	Y54G2A.32.1	IV	1	2804008	2804799	Y54G2A.32	protein_coding
WBGene00044488	Y54G2A.45a.1	IV	1	2805839	2809504	Y54G2A.45	protein_coding
WBGene00044488	Y54G2A.45a.2	IV	1	2805857	2809029	Y54G2A.45	protein_coding
WBGene00044488	Y54G2A.45b.1	IV	1	2806909	2809029	Y54G2A.45	protein_coding
WBGene00044488	Y54G2A.45c.1	IV	1	2807869	2809029	Y54G2A.45	protein_coding
WBGene00235268	Y54G2A.76.1	IV	1	2809410	2812848	Y54G2A.76	protein_coding
WBGene00021878	Y54G2A.13.1	IV	-1	2814568	2819733	Y54G2A.13	protein_coding
WBGene00023484	Y54G2A.37.1	IV	1	2820708	2823519	Y54G2A.37	protein_coding
WBGene00043062	Y54G2A.39a.1	IV	1	2823746	2825647	clec-80	protein_coding
WBGene00043062	Y54G2A.39b.1	IV	1	2824254	2828069	clec-80	protein_coding
WBGene00044491	Y54G2A.48.1	IV	-1	2831477	2832687	Y54G2A.48	protein_coding
WBGene00044489	Y54G2A.46.1	IV	1	2832877	2833480	pudl-1	protein_coding
WBGene00044490	Y54G2A.47.1	IV	1	2834816	2835357	pudl-2	protein_coding
WBGene00021873	Y54G2A.8a.1	IV	1	2835664	2838583	clec-82	protein_coding
WBGene00021873	Y54G2A.8b.1	IV	1	2835714	2838583	clec-82	protein_coding
WBGene00043702	Y54G2A.7.1	IV	1	2838608	2839422	Y54G2A.7	protein_coding
WBGene00021879	Y54G2A.14.1	IV	-1	2839375	2840685	clec-83	protein_coding
WBGene00021879	Y54G2A.14.3	IV	-1	2839375	2840781	clec-83	protein_coding
WBGene00021879	Y54G2A.14.2	IV	-1	2839375	2841434	clec-83	protein_coding
WBGene00021895	Y54G2A.33.2	IV	1	2842474	2845595	clec-84	protein_coding
WBGene00021895	Y54G2A.33.1	IV	1	2842474	2845604	clec-84	protein_coding
WBGene00021880	Y54G2A.15.1	IV	-1	2843224	2844007	Y54G2A.15	protein_coding
WBGene00044495	Y54G2A.40.1	IV	1	2846476	2851282	Y54G2A.40	protein_coding
WBGene00044492	Y54G2A.49b.1	IV	-1	2851691	2853261	Y54G2A.49	protein_coding
WBGene00044492	Y54G2A.49a.1	IV	-1	2851691	2854293	Y54G2A.49	protein_coding
WBGene00021872	Y54G2A.6a.1	IV	1	2854339	2855456	clec-85	protein_coding
WBGene00021872	Y54G2A.6b.2	IV	1	2854406	2855456	clec-85	protein_coding
WBGene00021872	Y54G2A.6b.1	IV	1	2854498	2855456	clec-85	protein_coding
WBGene00021872	Y54G2A.6b.3	IV	1	2854576	2855456	clec-85	protein_coding
WBGene00021881	Y54G2A.16c.1	IV	-1	2855607	2856172	Y54G2A.16	protein_coding
WBGene00021881	Y54G2A.16a.1	IV	-1	2855607	2857133	Y54G2A.16	protein_coding
WBGene00021881	Y54G2A.16b.1	IV	-1	2855607	2864843	Y54G2A.16	protein_coding
WBGene00021882	Y54G2A.17a.2	IV	-1	2872050	2882347	nprt-1	protein_coding
WBGene00021882	Y54G2A.17a.1	IV	-1	2872050	2890449	nprt-1	protein_coding
WBGene00021882	Y54G2A.17b.1	IV	-1	2872062	2885292	nprt-1	protein_coding
WBGene00021882	Y54G2A.17b.2	IV	-1	2872062	2885337	nprt-1	protein_coding
WBGene00021882	Y54G2A.17c.2	IV	-1	2881555	2882347	nprt-1	protein_coding
WBGene00021882	Y54G2A.17c.1	IV	-1	2881555	2890449	nprt-1	protein_coding
WBGene00021871	Y54G2A.5b.1	IV	1	2887025	2889021	dml-1	protein_coding
WBGene00021871	Y54G2A.5a.1	IV	1	2887052	2889021	dml-1	protein_coding
WBGene00021871	Y54G2A.5c.1	IV	1	2887404	2889021	dml-1	protein_coding
WBGene00235102	Y54G2A.75.1	IV	1	2890888	2891636	Y54G2A.75	protein_coding
WBGene00021883	Y54G2A.18.1	IV	-1	2891560	2892495	Y54G2A.18	protein_coding
WBGene00021884	Y54G2A.19.1	IV	-1	2893819	2894730	Y54G2A.19	protein_coding
WBGene00021898	Y54G2A.36.4	IV	1	2897694	2901648	Y54G2A.36	protein_coding
WBGene00021898	Y54G2A.36.1	IV	1	2897696	2901648	Y54G2A.36	protein_coding
WBGene00021898	Y54G2A.36.2	IV	1	2897696	2901648	Y54G2A.36	protein_coding
WBGene00021898	Y54G2A.36.3	IV	1	2897696	2901648	Y54G2A.36	protein_coding
WBGene00044493	Y54G2A.50.1	IV	1	2918441	2919780	Y54G2A.50	protein_coding
WBGene00044493	Y54G2A.50.2	IV	1	2918441	2919780	Y54G2A.50	protein_coding
WBGene00021887	Y54G2A.22.1	IV	-1	2919826	2922251	fbxc-45	protein_coding
WBGene00006708	Y54G2A.31.1	IV	-1	2922591	2925691	ubc-13	protein_coding
WBGene00021888	Y54G2A.23.1	IV	-1	2927515	2928421	manf-1	protein_coding
WBGene00021870	Y54G2A.4.1	IV	1	2931403	2936843	samt-1	protein_coding
WBGene00021897	Y54G2A.35b.1	IV	1	2960123	2964100	ser-6	protein_coding
WBGene00021897	Y54G2A.35a.1	IV	1	2960123	2964395	ser-6	protein_coding
WBGene00002243	Y54G2A.25a.1	IV	-1	2964365	2978461	lad-2	protein_coding
WBGene00189961	Y54G2A.57.1	IV	1	2969940	2973394	Y54G2A.57	protein_coding
WBGene00002243	Y54G2A.25b.1	IV	-1	2972307	2978461	lad-2	protein_coding
WBGene00021890	Y54G2A.26c.1	IV	-1	2986104	2992188	Y54G2A.26	protein_coding
WBGene00021890	Y54G2A.26b.1	IV	-1	2986104	2992511	Y54G2A.26	protein_coding
WBGene00021890	Y54G2A.26a.1	IV	-1	2986104	2995573	Y54G2A.26	protein_coding
WBGene00021891	Y54G2A.27.1	IV	-1	2998877	2999485	Y54G2A.27	protein_coding
WBGene00219425	Y54G2A.73b.2	IV	-1	3000541	3001778	Y54G2A.73	protein_coding
WBGene00219425	Y54G2A.73b.1	IV	-1	3000541	3006090	Y54G2A.73	protein_coding
WBGene00219425	Y54G2A.73a.1	IV	-1	3000541	3008892	Y54G2A.73	protein_coding
WBGene00021892	Y54G2A.28c.1	IV	-1	3009639	3009772	Y54G2A.28	protein_coding
WBGene00021892	Y54G2A.28b.1	IV	-1	3009639	3011268	Y54G2A.28	protein_coding
WBGene00021892	Y54G2A.28a.1	IV	-1	3009639	3012421	Y54G2A.28	protein_coding
WBGene00021869	Y54G2A.3a.1	IV	1	3012587	3014440	vrp-1	protein_coding
WBGene00021869	Y54G2A.3b.1	IV	1	3012654	3014440	vrp-1	protein_coding
WBGene00003008	Y54G2A.1.1	IV	1	3019738	3022315	lin-22	protein_coding
WBGene00021893	Y54G2A.29.1	IV	-1	3023403	3028942	ndnf-1	protein_coding
WBGene00022069	Y67D8C.5f.1	IV	-1	3032578	3050100	eel-1	protein_coding
WBGene00022069	Y67D8C.5a.1	IV	-1	3032766	3050102	eel-1	protein_coding
WBGene00022069	Y67D8C.5b.1	IV	-1	3032766	3050102	eel-1	protein_coding
WBGene00022069	Y67D8C.5c.1	IV	-1	3032766	3050102	eel-1	protein_coding
WBGene00022069	Y67D8C.5d.1	IV	-1	3032766	3050102	eel-1	protein_coding
WBGene00022069	Y67D8C.5e.1	IV	-1	3032766	3050102	eel-1	protein_coding
WBGene00022069	Y67D8C.5g.1	IV	-1	3032766	3050102	eel-1	protein_coding
WBGene00022069	Y67D8C.5h.1	IV	-1	3032766	3050102	eel-1	protein_coding
WBGene00022067	Y67D8C.3c.1	IV	1	3053730	3062034	Y67D8C.3	protein_coding
WBGene00022067	Y67D8C.3b.1	IV	1	3055714	3062034	Y67D8C.3	protein_coding
WBGene00022067	Y67D8C.3a.1	IV	1	3055714	3062053	Y67D8C.3	protein_coding
WBGene00022067	Y67D8C.3b.2	IV	1	3056162	3062034	Y67D8C.3	protein_coding
WBGene00022067	Y67D8C.3d.1	IV	1	3060192	3061972	Y67D8C.3	protein_coding
WBGene00022070	Y67D8C.6.1	IV	-1	3062524	3063366	Y67D8C.6	protein_coding
WBGene00022071	Y67D8C.7.1	IV	-1	3065568	3066934	Y67D8C.7	protein_coding
WBGene00022072	Y67D8C.8.1	IV	-1	3067848	3069876	cpg-9	protein_coding
WBGene00235279	Y67D8C.22b.1	IV	-1	3070134	3070415	Y67D8C.22	protein_coding
WBGene00235279	Y67D8C.22a.1	IV	-1	3070134	3076307	Y67D8C.22	protein_coding
WBGene00022066	Y67D8C.2.1	IV	1	3072297	3073916	Y67D8C.2	protein_coding
WBGene00022073	Y67D8C.9b.1	IV	-1	3077466	3086850	Y67D8C.9	protein_coding
WBGene00022073	Y67D8C.9a.1	IV	-1	3077479	3086923	Y67D8C.9	protein_coding
WBGene00003153	Y67D8C.10a.1	IV	-1	3103157	3133147	mca-3	protein_coding
WBGene00003153	Y67D8C.10c.1	IV	-1	3103157	3133147	mca-3	protein_coding
WBGene00003153	Y67D8C.10d.4	IV	-1	3103167	3131386	mca-3	protein_coding
WBGene00003153	Y67D8C.10d.1	IV	-1	3103167	3132275	mca-3	protein_coding
WBGene00003153	Y67D8C.10d.3	IV	-1	3103167	3133116	mca-3	protein_coding
WBGene00003153	Y67D8C.10d.2	IV	-1	3103167	3133143	mca-3	protein_coding
WBGene00003153	Y67D8C.10c.4	IV	-1	3103534	3131386	mca-3	protein_coding
WBGene00003153	Y67D8C.10c.3	IV	-1	3103534	3132277	mca-3	protein_coding
WBGene00003153	Y67D8C.10c.2	IV	-1	3103534	3133116	mca-3	protein_coding
WBGene00003153	Y67D8C.10a.4	IV	-1	3103651	3131386	mca-3	protein_coding
WBGene00003153	Y67D8C.10a.3	IV	-1	3103651	3132277	mca-3	protein_coding
WBGene00003153	Y67D8C.10a.2	IV	-1	3103651	3133116	mca-3	protein_coding
WBGene00003153	Y67D8C.10b.1	IV	-1	3111374	3133147	mca-3	protein_coding
WBGene00003153	Y67D8C.10e.1	IV	-1	3111738	3126232	mca-3	protein_coding
WBGene00003153	Y67D8C.10b.4	IV	-1	3111738	3131386	mca-3	protein_coding
WBGene00003153	Y67D8C.10b.3	IV	-1	3111738	3132277	mca-3	protein_coding
WBGene00003153	Y67D8C.10b.2	IV	-1	3111738	3133116	mca-3	protein_coding
WBGene00020730	T23E1.3a.1	IV	1	3146894	3148882	T23E1.3	protein_coding
WBGene00020730	T23E1.3b.1	IV	1	3148365	3148882	T23E1.3	protein_coding
WBGene00020728	T23E1.1.1	IV	1	3151361	3155987	T23E1.1	protein_coding
WBGene00022061	Y67D8B.1.1	IV	-1	3169946	3172610	Y67D8B.1	protein_coding
WBGene00022063	Y67D8B.4b.1	IV	-1	3173550	3176115	nlp-81	protein_coding
WBGene00022063	Y67D8B.4a.1	IV	-1	3173572	3176115	nlp-81	protein_coding
WBGene00022062	Y67D8B.2.1	IV	-1	3186080	3191562	Y67D8B.2	protein_coding
WBGene00023186	Y67D8B.3.1	IV	-1	3201560	3202211	Y67D8B.3	protein_coding
WBGene00022064	Y67D8B.5.1	IV	1	3202333	3203861	Y67D8B.5	protein_coding
WBGene00019766	M4.1a.1	IV	1	3213764	3219425	M4.1	protein_coding
WBGene00019766	M4.1b.1	IV	1	3213764	3219825	M4.1	protein_coding
WBGene00022059	Y67D8A.2h.1	IV	1	3222440	3252601	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2j.1	IV	1	3222440	3252601	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2k.1	IV	1	3222440	3252601	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2l.1	IV	1	3222440	3252601	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2c.1	IV	1	3222442	3224830	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2a.2	IV	1	3222442	3252575	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2b.2	IV	1	3222442	3252575	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2b.1	IV	1	3222442	3252579	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2a.1	IV	1	3222442	3252601	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2d.2	IV	1	3236851	3252575	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2e.2	IV	1	3236851	3252575	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2d.1	IV	1	3236851	3252579	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2e.1	IV	1	3236851	3252579	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2f.2	IV	1	3238109	3252575	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2g.2	IV	1	3238109	3252575	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2f.1	IV	1	3238109	3252579	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2g.1	IV	1	3238109	3252579	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2h.2	IV	1	3239106	3252575	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2i.2	IV	1	3239131	3252575	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2i.1	IV	1	3239131	3252579	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2j.2	IV	1	3241554	3252601	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2k.2	IV	1	3241554	3252601	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2l.2	IV	1	3241554	3252601	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2j.3	IV	1	3243520	3252575	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2k.3	IV	1	3245518	3252575	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2l.3	IV	1	3251612	3252581	Y67D8A.2	protein_coding
WBGene00022059	Y67D8A.2l.4	IV	1	3251725	3252575	Y67D8A.2	protein_coding
WBGene00022060	Y67D8A.3.1	IV	-1	3253263	3254543	dmd-9	protein_coding
WBGene00020831	T26C12.1.1	IV	1	3258910	3263489	T26C12.1	protein_coding
WBGene00020832	T26C12.2.1	IV	-1	3263851	3265372	T26C12.2	protein_coding
WBGene00044469	T26C12.6.1	IV	-1	3266404	3267677	clec-173	protein_coding
WBGene00020833	T26C12.3b.1	IV	-1	3269527	3270307	T26C12.3	protein_coding
WBGene00020833	T26C12.3a.1	IV	-1	3269527	3273397	T26C12.3	protein_coding
WBGene00001548	T26C12.4.1	IV	-1	3282885	3289337	gcy-23	protein_coding
WBGene00021089	W08E12.8b.1	IV	1	3292120	3294633	W08E12.8	protein_coding
WBGene00021089	W08E12.8a.1	IV	1	3292371	3294633	W08E12.8	protein_coding
WBGene00021089	W08E12.8b.2	IV	1	3292448	3294633	W08E12.8	protein_coding
WBGene00021088	W08E12.7.1	IV	1	3295135	3297225	W08E12.7	protein_coding
WBGene00021088	W08E12.7.2	IV	1	3295139	3297225	W08E12.7	protein_coding
WBGene00021087	W08E12.6.1	IV	1	3298629	3299687	W08E12.6	protein_coding
WBGene00021086	W08E12.5.1	IV	1	3300792	3301300	W08E12.5	protein_coding
WBGene00021085	W08E12.4.1	IV	1	3302358	3302973	W08E12.4	protein_coding
WBGene00021084	W08E12.3.1	IV	1	3303980	3304567	W08E12.3	protein_coding
WBGene00021083	W08E12.2.1	IV	1	3305898	3306541	W08E12.2	protein_coding
WBGene00021090	W08E12.9.1	IV	-1	3306664	3307563	W08E12.9	protein_coding
WBGene00021082	W08E12.1.1	IV	1	3311276	3313180	zip-11	protein_coding
WBGene00018327	F42A6.5.1	IV	-1	3330826	3331791	F42A6.5	protein_coding
WBGene00018328	F42A6.6d.1	IV	-1	3334042	3336868	F42A6.6	protein_coding
WBGene00018328	F42A6.6b.1	IV	-1	3334084	3336854	F42A6.6	protein_coding
WBGene00018328	F42A6.6c.1	IV	-1	3334084	3336854	F42A6.6	protein_coding
WBGene00018328	F42A6.6a.1	IV	-1	3334139	3336854	F42A6.6	protein_coding
WBGene00001999	F42A6.7a.1	IV	-1	3336927	3338544	hrp-1	protein_coding
WBGene00001999	F42A6.7d.1	IV	-1	3336927	3338544	hrp-1	protein_coding
WBGene00001999	F42A6.7b.3	IV	-1	3336927	3338623	hrp-1	protein_coding
WBGene00001999	F42A6.7c.3	IV	-1	3336927	3338623	hrp-1	protein_coding
WBGene00001999	F42A6.7b.2	IV	-1	3336927	3338833	hrp-1	protein_coding
WBGene00001999	F42A6.7c.2	IV	-1	3336927	3338833	hrp-1	protein_coding
WBGene00001999	F42A6.7b.1	IV	-1	3336927	3338863	hrp-1	protein_coding
WBGene00001999	F42A6.7c.1	IV	-1	3336927	3338863	hrp-1	protein_coding
WBGene00001999	F42A6.7a.2	IV	-1	3336927	3338867	hrp-1	protein_coding
WBGene00001999	F42A6.7d.2	IV	-1	3336927	3338867	hrp-1	protein_coding
WBGene00018324	F42A6.2.1	IV	1	3341470	3341939	F42A6.2	protein_coding
WBGene00018330	F42A6.9.1	IV	-1	3342519	3350027	elks-1	protein_coding
WBGene00018323	F42A6.1.1	IV	1	3355057	3357551	F42A6.1	protein_coding
WBGene00021953	Y55H10A.2.1	IV	1	3363553	3366079	Y55H10A.2	protein_coding
WBGene00021952	Y55H10A.1.1	IV	1	3369197	3373467	vha-19	protein_coding
WBGene00015249	B0546.2a.1	IV	-1	3373387	3378130	otub-4	protein_coding
WBGene00015249	B0546.2b.2	IV	-1	3373394	3378102	otub-4	protein_coding
WBGene00015249	B0546.2b.3	IV	-1	3373394	3378102	otub-4	protein_coding
WBGene00015249	B0546.2b.1	IV	-1	3373394	3378130	otub-4	protein_coding
WBGene00015250	B0546.3b.1	IV	-1	3379020	3382841	B0546.3	protein_coding
WBGene00015250	B0546.3c.1	IV	-1	3379355	3380149	B0546.3	protein_coding
WBGene00015250	B0546.3a.1	IV	-1	3379355	3382834	B0546.3	protein_coding
WBGene00015251	B0546.4a.1	IV	-1	3382949	3384147	B0546.4	protein_coding
WBGene00015251	B0546.4c.3	IV	-1	3382960	3383641	B0546.4	protein_coding
WBGene00015251	B0546.4b.1	IV	-1	3382960	3384147	B0546.4	protein_coding
WBGene00015251	B0546.4c.2	IV	-1	3383016	3383674	B0546.4	protein_coding
WBGene00015251	B0546.4c.1	IV	-1	3383180	3384045	B0546.4	protein_coding
WBGene00015248	B0546.1.1	IV	1	3385903	3386901	mai-2	protein_coding
WBGene00015248	B0546.1.2	IV	1	3385910	3386904	mai-2	protein_coding
WBGene00015252	B0546.5.1	IV	-1	3388050	3390087	B0546.5	protein_coding
WBGene00015414	C04C3.4.1	IV	1	3394366	3394527	C04C3.4	protein_coding
WBGene00219410	C04C3.14.1	IV	1	3395881	3396552	C04C3.14	protein_coding
WBGene00001119	C04C3.5a.1	IV	-1	3396581	3398613	dyf-3	protein_coding
WBGene00001119	C04C3.5c.1	IV	-1	3396581	3398895	dyf-3	protein_coding
WBGene00001119	C04C3.5b.1	IV	-1	3396581	3399123	dyf-3	protein_coding
WBGene00015413	C04C3.3.1	IV	1	3399672	3403904	pdhb-1	protein_coding
WBGene00015412	C04C3.2.1	IV	1	3415683	3419234	lgc-9	protein_coding
WBGene00015416	C04C3.6.1	IV	-1	3419813	3422607	C04C3.6	protein_coding
WBGene00195067	C04C3.9.1	IV	-1	3428134	3428534	C04C3.9	protein_coding
WBGene00015411	C04C3.1.1	IV	1	3428900	3430060	srz-60	protein_coding
WBGene00015417	C04C3.7.1	IV	-1	3432872	3433487	C04C3.7	protein_coding
WBGene00021033	W05E7.2.1	IV	1	3436319	3437878	srz-32	protein_coding
WBGene00001702	W05E7.3.1	IV	1	3438312	3439503	grd-13	protein_coding
WBGene00001692	W05E7.1.1	IV	1	3439655	3440453	grd-3	protein_coding
WBGene00001699	F09D12.1.1	IV	1	3441055	3441770	grd-10	protein_coding
WBGene00017281	F09D12.2.1	IV	-1	3442303	3444201	F09D12.2	protein_coding
WBGene00019049	F58E2.5.1	IV	1	3444914	3446528	F58E2.5	protein_coding
WBGene00019051	F58E2.9.1	IV	1	3453608	3454788	srz-23	protein_coding
WBGene00019048	F58E2.4.1	IV	1	3463567	3466276	F58E2.4	protein_coding
WBGene00019047	F58E2.3.1	IV	1	3467430	3469828	F58E2.3	protein_coding
WBGene00019046	F58E2.2.1	IV	1	3470042	3470711	F58E2.2	protein_coding
WBGene00023475	C09G12.15.1	IV	-1	3475646	3477224	srz-69	protein_coding
WBGene00015656	C09G12.6.1	IV	-1	3477392	3479011	srz-70	protein_coding
WBGene00015655	C09G12.5.1	IV	1	3479335	3479730	C09G12.5	protein_coding
WBGene00023474	C09G12.16.1	IV	-1	3480011	3481860	srz-37	protein_coding
WBGene00023463	C09G12.11.1	IV	1	3482895	3484706	srz-82	protein_coding
WBGene00015653	C09G12.3.1	IV	1	3491777	3493216	srz-78	protein_coding
WBGene00015652	C09G12.2.1	IV	1	3493610	3495179	srz-79	protein_coding
WBGene00044470	C09G12.17.1	IV	-1	3495296	3496440	C09G12.17	protein_coding
WBGene00015651	C09G12.1.1	IV	1	3498218	3503912	ceh-53	protein_coding
WBGene00023462	C09G12.10.1	IV	1	3504444	3506115	srz-83	protein_coding
WBGene00000424	C09G12.8b.1	IV	-1	3506328	3509527	ced-10	protein_coding
WBGene00000424	C09G12.8a.1	IV	-1	3507058	3509527	ced-10	protein_coding
WBGene00015658	C09G12.9.1	IV	-1	3510046	3514572	tsg-101	protein_coding
WBGene00006769	Y37E11C.1a.2	IV	1	3516819	3526598	unc-33	protein_coding
WBGene00006769	Y37E11C.1a.1	IV	1	3516819	3526602	unc-33	protein_coding
WBGene00006769	Y37E11C.1b.1	IV	1	3518147	3525572	unc-33	protein_coding
WBGene00006769	Y37E11C.1c.1	IV	1	3524390	3525572	unc-33	protein_coding
WBGene00019778	M57.2a.1	IV	1	3527354	3532473	M57.2	protein_coding
WBGene00019778	M57.2a.2	IV	1	3527354	3532521	M57.2	protein_coding
WBGene00019778	M57.2b.1	IV	1	3532102	3532442	M57.2	protein_coding
WBGene00019777	M57.1.1	IV	1	3533641	3539046	M57.1	protein_coding
WBGene00015037	B0212.3.1	IV	1	3540136	3543603	B0212.3	protein_coding
WBGene00015038	B0212.4d.1	IV	-1	3543628	3544546	nstp-6	protein_coding
WBGene00015038	B0212.4c.1	IV	-1	3543628	3545816	nstp-6	protein_coding
WBGene00015038	B0212.4b.1	IV	-1	3543628	3546527	nstp-6	protein_coding
WBGene00015038	B0212.4a.1	IV	-1	3543628	3547600	nstp-6	protein_coding
WBGene00003889	B0212.5.1	IV	-1	3551090	3557431	osm-9	protein_coding
WBGene00015036	B0212.2.1	IV	1	3565201	3567814	sre-5	protein_coding
WBGene00015035	B0212.1b.1	IV	1	3568979	3577630	otpl-1	protein_coding
WBGene00015035	B0212.1c.1	IV	1	3570719	3577630	otpl-1	protein_coding
WBGene00015035	B0212.1a.1	IV	1	3572472	3577630	otpl-1	protein_coding
WBGene00021375	Y37E11B.2.2	IV	1	3578415	3579531	Y37E11B.2	protein_coding
WBGene00021375	Y37E11B.2.3	IV	1	3578446	3579391	Y37E11B.2	protein_coding
WBGene00021375	Y37E11B.2.1	IV	1	3578565	3579391	Y37E11B.2	protein_coding
WBGene00021374	Y37E11B.1b.1	IV	1	3578937	3580992	Y37E11B.1	protein_coding
WBGene00021374	Y37E11B.1a.1	IV	1	3580022	3580954	Y37E11B.1	protein_coding
WBGene00021374	Y37E11B.1a.2	IV	1	3580721	3581020	Y37E11B.1	protein_coding
WBGene00021376	Y37E11B.3a.1	IV	-1	3580970	3582909	blos-7	protein_coding
WBGene00021376	Y37E11B.3b.1	IV	-1	3581068	3581853	blos-7	protein_coding
WBGene00006383	Y37E11B.4.1	IV	-1	3584314	3593613	taf-2	protein_coding
WBGene00021377	Y37E11B.5.1	IV	-1	3593960	3598552	Y37E11B.5	protein_coding
WBGene00021378	Y37E11B.6.1	IV	-1	3598656	3599299	Y37E11B.6	protein_coding
WBGene00021379	Y37E11B.7a.1	IV	-1	3599497	3600164	Y37E11B.7	protein_coding
WBGene00021379	Y37E11B.7b.1	IV	-1	3599523	3599944	Y37E11B.7	protein_coding
WBGene00021381	Y37E11B.10b.2	IV	-1	3603550	3605725	Y37E11B.10	protein_coding
WBGene00021381	Y37E11B.10a.1	IV	-1	3603550	3605741	Y37E11B.10	protein_coding
WBGene00021381	Y37E11B.10b.1	IV	-1	3603550	3606466	Y37E11B.10	protein_coding
WBGene00002188	ZC416.4.1	IV	1	3606784	3609229	kgb-2	protein_coding
WBGene00022610	ZC416.6b.1	IV	-1	3609218	3612166	ltah-1.2	protein_coding
WBGene00022610	ZC416.6a.1	IV	-1	3609218	3613072	ltah-1.2	protein_coding
WBGene00000481	ZC416.8b.1	IV	-1	3613934	3624697	cha-1	protein_coding
WBGene00006756	ZC416.8a.1	IV	-1	3618259	3624697	unc-17	protein_coding
WBGene00022609	ZC416.2.1	IV	1	3633619	3635472	ZC416.2	protein_coding
WBGene00022608	ZC416.1.1	IV	1	3637079	3640265	madf-9	protein_coding
WBGene00195049	CC8.3.1	IV	-1	3641396	3642307	CC8.3	protein_coding
WBGene00016987	CC8.2a.1	IV	-1	3645166	3647696	CC8.2	protein_coding
WBGene00016987	CC8.2b.1	IV	-1	3645166	3648684	CC8.2	protein_coding
